P#	Timestamp	What is your main programming language?	If your main language does not have access modifiers (e.g., public, private, protected, etc.), do you follow any conventions to denote visibility of methods and instance variables?   (For example, some Python programmers elect to prefix private methods with an underscore.) 	If you answered "yes", please tell us what conventions you follow.  If you answered "no", please tell us your reasons as to why you do not follow any conventions.	Does the code that you are usually testing involve non-public methods?	To what extent do you agree with the following statement?  "In general, developers should write unit tests that only invoke public methods, avoiding direct calls to non-public methods."	How often do you write tests that directly invoke non-public methods?	How do you go about testing non-public methods? [Via public method that invokes the non-public method]	How do you go about testing non-public methods? [Directly invoking the non-public method]	How do you go about testing non-public methods? [Using Reflection / Mocks]	How do you go about testing non-public methods? [Adding test code (e.g., print statements or assertions) in production code]	How do you go about testing non-public methods? [Temporarily changing non-public methods to public]	How do you go about testing non-public methods? [Changing the visibility of the method to public permanently]	Are there any other approaches or strategies that you use to test non-public methods?	Do you take a different approach for testing different levels of visibility of non-public methods? (For example, is your treatment of private methods different compared to protected methods?)	If you answered "yes", please tell us how and why.	Are there any guidelines, best practices, or specific rules you follow when testing non-public methods?  If so, please tell us about them here.	To what extent do you value the following aspects when writing unit tests? [Coverage of production code]	To what extent do you value the following aspects when writing unit tests? [Capturing the behaviour of the production code (through assertions)]	To what extent do you value the following aspects when writing unit tests? [Ease of debugging following production code failures]	To what extent do you value the following aspects when writing unit tests? [Robustness following refactoring of production code]	To what extent do you value the following aspects when writing unit tests? [Sensitivity to behavioural changes of production code]	To what extent do you value the following aspects when writing unit tests? [Realistic exercising of the unit by the test in a similar way to its usage in production]	To what extent do you value the following aspects when writing unit tests? [Tests that instill confidence in the production code]	To what extent do you value the following aspects when writing unit tests? [Writing concise unit tests to test the production code]	To what extent do you agree with the following statement?  "Testing non-public methods leads to more tests failing spuriously when modifications are made to those methods."	If you have anything else to say about your thoughts and/or processes when writing unit tests with respect to testing public and non-public methods, please let us know here:	Are there features you'd like to see in unit testing or mocking tools in the future to better accommodate the testing of non-public methods?	How many years of experience do you have in software development?	How many years of experience do you have in writing unit tests?	In which industry are you currently working in?	Do you employ any of the following software development methodologies and/or programming practices? Please tick all that apply.
1	18/09/2023 15:39:36	Typescript	My main programming language has access modifiers		Yes	Strongly disagree	Often	Never	Often	Sometimes	Rarely	Never	Never	If the language supports and internal modifier to give access to certain test classes, id use that.	No		I said no to temporarily setting to public, however I have heard of overriding the methods to be public. I guessed that would be under mocks with reflection though. 	Somewhat important	Very Important	Very Important	Very Important	Very Important	Important	Very Important	Somewhat important	Disagree			5–10	5–10	Enterprise / Business Software	Test-driven development
2	19/09/2023 04:24:20	Java	My main programming language has access modifiers		No	Agree	Often	Mostly	Rarely	Often	Sometimes	Rarely	Rarely	No	No		Always test on non-public methods by invoke public methods	Very Important	Important	Very Important	Important	Very Important	Somewhat important	Not important	Very Important	Agree	Unless need to test something like decryption features, these method are in non-public, because is very sensitive and intrinsic to the code and normally not exposed to outside, and anymore cloud use it, when we  wanted to test it out, is wroth to use reflection. Trade off like security will be primary consideration.		2–5	2–5	Information Technology, University / Education, Fintech (Finance)	Behaviour-driven development, Agile methodology, e.g. Scrum
3	20/09/2023 18:10:55	PHP	My main programming language has access modifiers		Yes	Disagree	Sometimes	Sometimes	Not a feature in my language	Often	Rarely	Sometimes	Never		No			Important	Very Important	Important	Important	Very Important	Somewhat important	Very Important	Important	Disagree	I wish I could private methods as if they were public methods.	I want to test private methods directly as if they were public.	5–10	2–5	Transportation / Automotive	Test-last development, Feature-driven development, Agile methodology, e.g. Scrum
4	20/09/2023 20:26:13	Python	Yes	Use underscore as for Python convention 	Yes	Strongly disagree	Often	Often	Mostly	Sometimes	Mostly	Never	Never		No			Very Important	Very Important	Important	Very Important	Very Important	Very Important	Very Important	Important	Disagree			10–15	5–10	Information Technology	Test-driven development, Agile methodology, e.g. Scrum
5	22/09/2023 15:26:21	PHP	My main programming language has access modifiers		No	Agree	Rarely	Mostly	Not a feature in my language	Rarely	Never	Never	Rarely		No			Somewhat important	Very Important	Very Important	Very Important	Somewhat important	Very Important	Very Important	Not important	Disagree	While the ability to test smaller non-public methods sounds tempting, the reality is that the software is designed to produce a set of features (accessible via public functions). These features (and the corresponding public functions) must still be fully tested to ensure that the end product accurately provides the desired functionality.  Even if you perfectly test a non-public function, you need to perfectly test the corresponding public functions that utilize the non-public function, and you need to test that your public function correctly utilizes the non-public function for all test cases.		5–10	2–5	Information Technology	Test-last development
6	22/09/2023 18:35:33	Ruby	My main programming language has access modifiers		Yes	Disagree	Often	Mostly	Rarely	Rarely	Rarely	Never	Never		Yes	More often a protected method demands more explicit testing on it, since it's use is usually more complex in scope than a private method		Very Important	Very Important	Important	Important	Important	Very Important	Very Important	Important	Agree			5–10	2–5	Fintech (Finance)	Test-last development, Agile methodology, e.g. Scrum
7	24/09/2023 02:06:06	Typescript	No	I typically just follow "export" as an indicator that a function or class is public, and that the current codebase conventions don't denote the visibility.	No	Agree	Sometimes	Mostly	Sometimes	Often	Never	Never	Rarely		No			Very Important	Very Important	Important	No opinion	Important	Somewhat important	Very Important	Very Important	Disagree			0–2	0–2	Enterprise / Business Software, Retail Industry	Behaviour-driven development, Feature-driven development, Agile methodology, e.g. Scrum
8	26/09/2023 00:40:42	C#	My main programming language has access modifiers		No	Strongly disagree	Never	Mostly	Never	Sometimes	Never	Never	Never		No		Do not compromise your method accessibility due to test.	Very Important	Very Important	Very Important	Very Important	Very Important	Very Important	Very Important	Important	Strongly Disagree			0–2	0–2	Information Technology	Test-driven development, Agile methodology, e.g. Scrum
9	27/09/2023 23:56:06	Typescript	Yes	We use exports from ESModules to control methods that can be imported elsewhere in the program. Internal (private) methods are not exported from a script so cannot be imported. These non-exported methods are generally stateless.	Yes	Disagree	Never	Mostly	Not a feature in my language	Never	Never	Rarely	Often	Usually we export the subject under test if we need to directly invoke the method during unit testing. We also need to export methods that we mock with testdouble.	No		We expose non-exported methods if they are directly needed as a test target	Somewhat important	Very Important	Very Important	Very Important	Very Important	Very Important	Very Important	Important	Disagree	If there was a way to test non-exported modules in JS/TS, we would very much appreciate it! Especially if we could mock these non-exported methods.	Greater control over the JS/TS loader during test would be nice as it would allow us to have more precise control over private method without exposing them. For instance, we could assert if a private method was called during the test and with what parameters.	5–10	5–10	Information Technology	Acceptance test-driven development, Agile methodology, e.g. Scrum
10	28/09/2023 09:49:30	Kotlin	My main programming language has access modifiers		No	Agree	Rarely	Mostly	Rarely	Often	Never	Never	Rarely		No			Important	Very Important	Important	Somewhat important	Important	Important	Somewhat important	Important	Agree			2–5	2–5	University / Education	Feature-driven development, Agile methodology, e.g. Scrum
