project,public_percentage,private_percentage,package-private_percentage,protected_percentage
01org-jndn-management,98.88888943,1.111110565,0,0
10Duke-event-api,100,0,0,0
1337joe-cubesensors-for-java,83.05084774,16.94915226,0,0
1and1-bill-of-materials-maven-plugin,33.33333333,0,66.66666667,0
1and1-spritepacker-maven-plugin,51.99999848,10.00000071,8.000001047,29.99999976
2captcha-2captcha-java,96.35036484,3.649635162,0,0
3redronin-mu-acme,77.14285861,11.4285707,11.4285707,0
3scale-3scale-ws-api-for-java,64.47368389,35.52631611,0,0
42BV-seagull-api-wrapper,86.11110982,7.638889296,0,6.250000884
42Crunch-openapi-bundler-java,82.14285885,8.928570577,8.928570577,0
42Crunch-openapi-bundler-reverse-java,81.25000096,9.374999521,3.124999111,6.25000041
52North-youngs,71.15384611,22.11538472,0,6.730769167
819548945-lich-tool,86.02941196,11.02941137,1.470588339,1.470588339
819548945-tool-encryptionAndDecryption-core,94.80519487,2.597402563,0,2.597402563
8767452-lyr-tool,92.62796044,5.538578894,0.4965628501,1.336897814
8kdata-mongowp,89.15304578,5.423476091,2.60029807,2.823180062
99soft-rocoto,81.48148233,4.629628893,0,13.88888877
AKSW-Beast,98.57954444,0,0,1.420455562
Abhilashpn-MathOps,100,0,0,0
Accenture-waterfall-config,61.53846154,38.46153846,0,0
Achal-Aggarwal-arbiter,63.52941228,34.11764777,0,2.352939958
Acosix-acosix-maven-parent,51.85185138,0,0,48.14814862
ActionIQ-JavaAnsibleVault,86.66666596,13.33333404,0,0
AdamBien-afterburner-fx,55.10203721,4.081633928,36.73469494,4.081633928
Addicticks-jTextTime,93.2203391,6.779660901,0,0
Addicticks-jaxbdatetime,93.2203391,6.779660901,0,0
AdroitLogic-aws-maven,73.74999946,7.499999643,10.00000072,8.750000179
AgiliumLabs-osxappbundle,55.55555631,44.44444369,0,0
Alec-DeSouza-RxChange,100,0,0,0
Alec-DeSouza-RxChange-Java,100,0,0,0
Aleks-Ya-ascii2native-maven-plugin,28.57142976,71.42857024,0,0
AlexGPlay-Blynder,63.06620162,34.14634151,0,2.787456874
Alipsa-maven-utils,81.81818112,18.18181888,0,0
Allogy-maven-s3-wagon,0,0,0,100
AludraTest-aludratest,76.10294059,14.95098044,1.593137164,7.352941807
AmadeusITGroup-asciidoctor-extension-apidoc,25.00000106,62.50000053,12.49999841,0
Amit-api-amit-compiler,76.271186,18.644068,0,5.084746
Andreas-Maier-NTT-swagger-jaxb,82.75862069,10.34482759,0,6.896551724
AndreasKl-reactive-spring-session-postgres,66.66666667,29.99999942,3.333333918,0
Andy-Shao-UsefulTools,96.37305733,1.036268748,2.072539553,0.518134374
Anon10W1z-PeriodicTable,63.63636364,36.36363636,0,0
AntaTom-Clu-HitMan,58.33333313,18.75000046,0,22.91666641
Antideveloppeur-SimpleNet,97.90575935,2.09424065,0,0
Apereo-spring-webflow-client-repo,81.818182,6.060606,0,12.121212
AppiumTestDistribution-DeviceManager,83.72093055,16.27906945,0,0
ArangoDB-Community-arangodb-graphql-java,72.77486941,26.17800993,0,1.047120656
ArcBees-Jukito,44.88189053,25.98425182,0,29.13385765
ArcadiaConsulting-appstorestats,84.53389887,6.991524765,4.025423405,4.44915296
ArcadiaConsulting-jboss-logging-gelf,73.21428591,23.21428483,0,3.57142926
Ardesco-Query,85.71428595,7.142857026,7.142857026,0
