,project,CtMethodImpl_protected,CtMethodImpl_package-private,CtMethodImpl_public,CtMethodImpl_private
0,antkorwin-mimetype,0,0,6,2
1,rfksystems-commander,0,0,26,0
2,somosdigix-editordedocumentos,5,0,62,50
3,namics-java-tools,13,0,169,8
4,bingoohuang-diamond-client,3,9,287,61
5,narupley-not-going-to-be-commons-ssl,41,12,489,42
6,sporniket-javabeans,3,0,98,51
7,greg-hellings-gully,1,0,68,0
8,harium-etyl,34,0,563,73
9,izhijian-weixin-sdk,1,4,2261,63
10,middle-out-snowflake,0,0,3,2
11,tamurashingo-dbutils3,0,0,33,4
12,tsweets-jdefault,9,0,76,2
13,zahidMed-async-retry,5,0,30,0
14,proofpoint-cloud-management,7,1,160,8
15,fugerit-org-query-export-tool,1,0,75,5
16,molindo-maven-git-commit-id-plugin,46,19,111,44
17,serddmitry-joda-interval,0,0,24,0
18,ruediste-c3java,1,0,119,8
19,laaglu-lib-gwt-svg,16,6,1680,86
20,cowtowncoder-java-merge-sort,19,0,57,2
21,Glassdoor-planout4j,50,8,191,15
22,rubens1287-OSSRH-49857,0,0,2,0
23,cfloersch-AuthTicket,0,2,49,10
24,X-corpion-jDiff,5,1,57,28
25,develop4-tomcat-extension,6,0,158,14
26,BlackPepperSoftware-bp-support-spring-tx-test,1,0,4,0
27,Parisoft-resty,1,0,113,14
28,rapid7-smbj-rpc,53,63,1221,39
29,piwik-piwik-java-tracker,2,7,265,13
30,Vilsol-Blockly2Java,10,0,2,4
31,dkellenb-formula-evaluator,55,3,213,14
32,delthas-libsilence-java,9,6,42,2
33,retest-recheck-web,13,8,221,61
34,Redouane59-twitter-client,2,0,350,10
35,lkwg82-enforcer-rules,25,6,160,47
36,ksmonkey123-awaeUtils,3,12,313,8
37,jianglibo-visitrank,0,0,45,7
38,rimerosolutions-maven-wrapper,18,4,96,39
39,chenlichao-cn-wmi4j,0,5,172,3
40,jetlinks-reactor-ql,38,2,243,12
41,rowanhill-jersey-wiremock,2,4,67,40
42,monarchapis-service-api-java-driver,46,0,306,26
43,sokybot-mydoggy,420,6,1985,46
44,Addicticks-jaxbdatetime,0,0,55,4
45,eurostat-java4eurostat,0,0,227,7
46,spicule-kythera-magnesium-script,9,0,73,25
47,igapyon-blancoCommons,17,0,208,9
48,gesundkrank-JSkills,16,0,150,27
49,getlantern-Exceptional4j,0,1,10,10
50,bryonjacob-relaxng-maven-plugin,0,0,5,0
51,neo4j-graph-collections,18,70,565,129
52,IonicDev-ipcs-gcs,6,0,98,0
53,webjars-webjars-locator-core,4,0,22,9
54,michaelliao-compiler,1,1,8,0
55,wchukai-rpc-intruder,2,0,87,9
56,Turini-vraptor-authz,0,0,2,3
57,mihxil-jaxbdocumentation,1,0,11,15
58,typpo-quickchart-java,0,0,22,2
59,jcaddel-graph-maven-plugin,105,0,645,0
60,vdurmont-userinfo-java,0,0,28,0
61,fmarmar-cucumber-tools,6,1,114,60
62,bfu4-rf,0,0,20,0
63,opensource21-dbunit-datasetbuilder,9,0,64,29
64,inversoft-restify,0,0,124,12
65,vivimice-bgzf-randreader,0,0,19,1
66,olavholten-imagick-FT,0,0,52,3
67,rikcarve-mp-config-db,0,1,10,4
68,silentsoft-arguments-parser,4,0,15,3
69,difi-commons-libs,0,0,14,1
70,tlrx-elasticsearch-test,14,0,93,15
71,kokorin-jdbUnit,0,24,22,2
72,russgold-xmlsemantics,0,0,12,9
73,stephenc-eaio-uuid,0,2,36,0
74,keraton-EasyDSL,0,0,32,18
75,Mahoney-sysout-over-slf4j,6,18,70,18
76,gomoob-java-model,0,0,39,0
77,googleapis-java-binary-authorization,141,0,2906,78
78,gwtbootstrap3-gwtbootstrap3,87,2,1402,70
79,biouno-figshare-java-api,3,0,64,1
80,tsolakp-aop-utils-common,0,0,72,9
81,matthewhorridge-mdock,41,0,125,15
83,d-velop-dvelop-sdk-java,0,0,87,5
84,spaulg-mvel-maven-plugin,0,0,10,0
85,sheinbergon-useragent-analyzer,5,2,37,3
86,gizwits-openapi-sdk-java,0,0,25,5
87,niesfisch-tokenreplacer,8,6,35,10
88,openapi-tools-swagger-maven-plugin,0,2,20,8
89,gkatzioura-CloudStorage,0,0,145,44
90,Hevelian-hevelian-olastic,63,0,253,37
91,minimalcode-org-minimalcode-beans,0,0,22,10
92,qoomon-google-url-signature,0,0,5,0
93,opensudoku-sudoku-solver,0,3,72,3
94,testingbot-testingbot-java,0,0,160,4
95,nedap-archie,50,1,1542,233
96,vg2902-synchro-task,5,10,112,31
97,UweTrottmann-getglue-java,3,0,11,0
98,stackify-stackify-log-log4j2,1,0,12,0
99,accelad-com-nilgiri-math,9,4,429,9
100,WeTheInternet-xapi-template,10,0,157,6
101,vendigo-ace-mybatis,2,8,52,10
102,mheath-syslog-netty-codec,2,4,20,0
103,xlate-staedi,15,251,524,66
104,freme-project-epublib,30,25,724,221
105,centro-jumper,0,0,77,9
106,lalib-cxfclientlogger,4,0,69,4
107,ops4j-org-ops4j-base,5,5,220,45
108,fathzer-sites-supervisor-core,9,1,28,15
109,alexkasko-unsafe-tools,1,33,302,27
110,scalecube-socketio,9,0,150,33
111,99soft-rocoto,15,0,88,5
112,effektif-effektif,126,5,2414,55
113,jiaqi-jcli,1,15,61,9
114,ox-it-canvas-api,79,1,1948,35
115,binaryfoo-emv-bertlv,0,0,11,0
116,northandwest-WestShardORM-core,7,0,337,9
117,starlangsoftware-syntacticparser,18,0,90,14
118,wmifsud-sumo-logback-appender,10,0,43,7
119,Graylog2-gelfclient,9,1,71,6
120,oshoukry-dns4java,0,0,103,22
121,Netcentric-apply-system-env-install-hook,0,2,36,20
122,venkatramanm-csfj,0,0,111,26
123,indix-indix-api-java,0,1,185,15
124,cfloersch-Proximo,0,3,147,6
125,javadev-nazk-client,0,0,9,1
126,blankhang-iptool,0,0,26,3
127,sevntu-checkstyle-dsm-maven-plugin,4,0,15,17
128,Arnauld-swoop,36,0,430,23
129,harium-marine,0,0,13,1
130,imixs-imixs-office-workflow,6,4,313,34
131,MarchenkoProjects-PrettyJDBC,0,0,199,26
132,BlackPepperSoftware-bp-common-i18n,4,0,9,6
133,eireglas-GivWenZen,5,1,170,31
134,iarellano-iad-rest-client-maven-plugin,0,0,92,27
135,polyglotted-xpath-stax,0,27,77,20
136,postmaster-postmaster-java,0,0,275,10
137,longstone-I18nResourceValidator,0,0,16,8
138,purej-purej-vminspect,27,0,184,65
139,Jurrie-jsch-111-bugfix,0,2,13,2
140,SonarCommunity-sonar-flex,0,12,321,153
141,lotaris-junitee-data-utils,6,12,18,4
142,swagger-api-swagger-inflector,2,1,331,22
143,Alipsa-maven-utils,0,0,36,8
144,heruan-humanize,0,0,6,0
145,jarekratajski-badlam,0,7,28,7
146,namics-spring-terrific-support,39,17,178,29
147,iamraphson-jusibe-java-lib,0,0,12,0
148,Jacky-Cai-collectionX,0,0,148,2
149,timshadel-simple-secrets-java,0,0,29,3
150,code4craft-express-java,5,0,176,2
151,stefanbirkner-vallado,0,0,9,1
152,j-easy-easy-rules,9,6,181,50
153,secureops-fieldextraction,2,1,117,8
154,AludraTest-aludratest,120,26,1242,244
155,yegor256-takes,2,0,462,163
156,stefanbirkner-contarini,0,6,33,11
157,jcgay-send-notification,1,1,194,33
158,jarst-neo4j-schema-enforcer,1,0,16,5
159,dheid-matomo-tracker,1,2,23,10
160,os72-protoc-jar-maven-plugin,0,11,4,17
161,terracotta-oss-offheap-store,82,36,654,260
162,NanoHttpd-nanohttpd,29,1,222,41
163,jbrundege-taro,0,0,166,9
164,stackify-stackify-metrics,7,0,101,4
165,ncredinburgh-secure-tomcat-datasourcefactory,0,0,10,12
166,digitalpetri-opc-ua-nodeset-parser,0,0,63,20
167,terminaldriver-terminaldriver,2,5,170,11
168,ThorbenKuck-CLIParser,13,0,58,12
169,knowm-Sundial,24,4,441,57
170,BYVoid-TA-Lib,2,25,859,10
171,sadath42-grammarbot-java-client,0,0,92,0
172,adorsys-jmspojo,2,2,28,8
173,googleapis-java-notification,0,5,25,0
174,easyrong-wireless-manage-sdk,6,0,71,3
175,sps-pushover4j,0,0,37,1
176,dakusui-symfonion,19,12,193,41
177,jqassistant-contrib-jqassistant-hcl-plugin,10,0,73,6
178,jinahya-bit-io,46,8,63,2
179,AgiliumLabs-osxappbundle,0,0,10,8
180,bmatthews68-hamcrest-matchers,0,0,4,0
181,notima-swish4j,0,6,75,11
182,nibnait-json-comparison,2,0,55,12
183,chengzh100-excel-formula-engine,0,0,7,1
184,valters-daisydiff,14,34,228,69
185,namics-java-random,0,0,181,10
186,hashmapinc-witsml-client,0,3,193,89
187,javalin-javalinmithril,8,1,10,10
188,keshrath-Giphy4J,0,0,195,3
189,lotaris-java-api-test,45,0,116,17
190,figroc-r2dbc-mysql,51,182,963,175
191,OxalisCommunity-oxalis-ocsp,9,0,54,0
192,mycila-jmx,47,1,141,4
194,FlavioF-quartz-scheduler-hazelcast-jobstore,3,0,71,5
195,uuidcode-builder,0,2,538,42
196,sonatype-jarjar-maven-plugin,7,2,86,28
197,javadev-password-generator,0,0,1,2
198,francesco-ficarola-gexf4j,73,0,177,2
199,cristi-d-wee-lib,0,1,52,2
200,klakegg-pkix-ocsp,9,0,54,0
201,paritytrading-nassau,0,14,98,40
202,coodoo-io-coodoo-audit,0,0,84,12
203,Bpazy-Id,0,0,4,5
204,joseerodrigues-db-utils,2,2,148,20
205,lizeze-library,0,0,79,2
206,jmeetsma-Iglu-Util,3,1,365,21
207,TrentHouliston-Niowire,11,1,147,7
208,tfredrich-crossroads,1,0,12,5
209,ffremont-SbDeployer,2,0,205,1
210,hsp8712-addrparser,0,0,130,8
211,eyolas-uri-query-builder,0,0,5,3
212,mm-dict-valence-sdk-java,5,6,77,12
213,Kenoshen-animagic,0,0,126,26
214,PatternFM-cycle,0,2,40,8
215,harium-web-healthcare,0,5,32,3
216,codecentric-javafxsvg,1,0,21,9
217,hpautonomy-java-content-parameter-api,7,0,362,19
218,8767452-lyr-tool,70,26,4850,290
219,yoshaul-iostreams,0,0,16,2
220,WslF-DataStructures,0,1,25,8
221,digipost-digipost-html-validator,0,0,20,8
222,jcaddel-maven-s3-wagon,42,0,126,1
223,mlk-jdbi-guice,1,0,7,0
224,poetix-jermaine,3,4,33,21
225,SonarCommunity-sonar-scm-cvs,1,2,26,13
226,marvin-we-crypto-core,5,0,208,8
227,seedboxer-seedboxer,18,1,436,58
228,wilcotomassen-lorem-datum-core,11,0,70,0
229,spotify-daemon-java,1,0,7,1
230,zulkar-russian-translit,0,0,9,1
231,json-snapshot-json-snapshot-github-io,0,2,22,15
232,target365-sdk-for-java,0,0,71,10
233,nacx-sjmvc,20,0,69,12
234,cliftonlabs-json-simple,0,3,77,20
235,TinkoffCreditSystems-eclair,21,25,164,50
236,BlackPepperSoftware-bp-support-date-test,1,0,3,0
237,paritytrading-philadelphia-extras,0,0,2,3
238,yadickson-autocert,0,0,50,22
