project_name,project_url,project_hash
KnisterPeter-smaller-config,https://github.com/KnisterPeter/smaller-config,7441dff2bff76d5c638616bd5985f2edddae2d77
IonicDev-ipcs-gcs,https://github.com/IonicDev/ipcs-gcs,6078b1e07c7bba5769f3cf1781799be1051af3bc
vincentrussell-sql-to-mongo-db-query-converter,https://github.com/vincentrussell/sql-to-mongo-db-query-converter,e2e49b9f447970e11dea596e9c4fc29196a6cf06
mike10004-gae-testing-support,https://github.com/mike10004/gae-testing-support,feb01e7c5ecb934dd7cafbadb9922dfc3b1725fa
TareqK-Jesse,https://github.com/TareqK/Jesse,cff1b70b3bcbf602b53328cc4644b6e4f0fea9fc
PureSolTechnologies-KickStart,https://github.com/PureSolTechnologies/KickStart,61396d9c44e1b17f57c9ae0744880289a62288ae
cybuch-mongobeeJ,https://github.com/cybuch/mongobeeJ,5018e1bce0113cb81508a0ccb164fd4667d73eea
ScottConway-tracker-domain,https://github.com/ScottConway/tracker-domain,e1b25ae1ff83b81ff01afff7a9abe3a2a4b5129f
Carma-Public-swagger-jaxrs-doclet,https://github.com/Carma-Public/swagger-jaxrs-doclet,ec505a4070fcf0d6cbaa740c92a1a878aeebffd4
stefanbirkner-jmarkdown2deckjs,https://github.com/stefanbirkner/jmarkdown2deckjs,2da153b5e8119686c19f786a0bf6ca3c19826d55
IonicDev-ipcs-s3,https://github.com/IonicDev/ipcs-s3,35edc5e2e0a8998a25673fbb99307b8aab5e7e67
rcarlosdasilva-kits,https://github.com/rcarlosdasilva/kits,82fe0197e5fb115962e5b7a9822da15986dba26b
achatain-java-webapp-authentication,https://github.com/achatain/java-webapp-authentication,cce888c2eddfe43a097a0b058c95903c40ac7db8
stefanofornari-https,https://github.com/stefanofornari/https,b6d5a63c46e47060597e39dbb8042fadeee6dbee
fssantana-unit-mock,https://github.com/fssantana/unit-mock,7933531b0bef4605b3a9275275181018a3c94dd7
optimaize-hostrules4j,https://github.com/optimaize/hostrules4j,2fbb2bc40d36a5053957383f1d83e0b85f784ad5
duraspace-fcrepo-cloudsync,https://github.com/duraspace/fcrepo-cloudsync,2d90e2c9c84a827f2605607ff40e116c67eff9b9
ghosthack-turismo,https://github.com/ghosthack/turismo,47370effc2b59aa5d836b30f3788c21b31059bd6
couchbase-java-couchbase-encryption,https://github.com/couchbase/java-couchbase-encryption,32c795a0013057ca8c261db03eb4651e001372cb
j256-ormlite-core,https://github.com/j256/ormlite-core,a2c9633b8ecdf2c3f9e7581c251e5795c97143b3
owlcs-OPPL2,https://github.com/owlcs/OPPL2,29f5419366cc5cd9a5db921b8cd7d8a7aed8cf79
support-project-web,https://github.com/support-project/web,b265aefcd5c67f87e2d2f0e9a4719042585d80e6
chenhaiyangs-mybatis-encrypt-plugin,https://github.com/chenhaiyangs/mybatis-encrypt-plugin,8c9af75f79ea2922bd4e46733f3dca4833ac0170
jaceko-cxf-circuit-switcher,https://github.com/jaceko/cxf-circuit-switcher,b991e7550b885eb754891caee62fcf6c8e5ea8a1
akamai-open-AkamaiOPEN-edgegrid-java,https://github.com/akamai-open/AkamaiOPEN-edgegrid-java,eed6b030b9520296f1b5bf38ce7f74c26019e8b5
sporniket-javabeans,https://github.com/sporniket/javabeans,f6c201080bb35add2322834113449fe1df18ca39
jeffdcamp-dbtools-query,https://github.com/jeffdcamp/dbtools-query,ed732475b65b0e84c2a16c37bbdcff534a0820f6
goldolphin-cate,https://github.com/goldolphin/cate,1a04b8191892147d033983a580ba57aef3ded7ff
nicoulaj-compile-command-annotations,https://github.com/nicoulaj/compile-command-annotations,10271a3a69a1d72084227626a07fb7e7784f7b54
segmentio-backo-java,https://github.com/segmentio/backo-java,8e05bee9db0c2fd638137b2fb2cedd6c23a4f69b
SK-EID-digidoc4j-smart-id-adapter,https://github.com/SK-EID/digidoc4j-smart-id-adapter,9492a4e0ed7f8954fc851791164a4fa1b31fccf7
taboola-backstage-api-java-client,https://github.com/taboola/backstage-api-java-client,ed51cbfadd5d232bafc48424be6b8d7d51d1616b
IonicDev-ionic-for-azure-storage,https://github.com/IonicDev/ionic-for-azure-storage,01fa30e233f6d79a989f61f1ca13e07faf483504
polystat-polystat,https://github.com/polystat/polystat,8be831c5bafbbd21760a19d87644e2d013b02832
Leshana-lambda-utils,https://github.com/Leshana/lambda-utils,1d989a79e81579bf3d93b74a8d447e4c34764365
mih-kopylov-versioner-maven-plugin,https://github.com/mih-kopylov/versioner-maven-plugin,d38ce615812a1950af5d72c8ea49ade05876d440
melahn-user-story-generator,https://github.com/melahn/user-story-generator,8f1c00cd23cae3d4cedebc55bcd61974295e105d
PicnicSupermarket-reactive-support,https://github.com/PicnicSupermarket/reactive-support,d4aa7fff61329bddea465693966854d4c04ebabe
dheid-matomo-tracker,https://github.com/dheid/matomo-tracker,980aa6864c7f3d7fc1df09d8dc7ad335463dea02
gitblit-iciql,https://github.com/gitblit/iciql,5969ab7d90583422048c88ed120e583586cb0c4f
PinaeOS-nala,https://github.com/PinaeOS/nala,2047ade4af197cec938278d300d111ea94af6fbf
google-jimfs,https://github.com/google/jimfs,10806eec8baf29306fec9a0de65004bb03d1df9d
stheves-denon4j,https://github.com/stheves/denon4j,1bd30f4dd69140753e2d2e0f02295d577fee6616
datalking-play-ioc,https://github.com/datalking/play-ioc,6c97cb83eb3695e98b22355f3ef938338ede1bec
nedap-archie,https://github.com/nedap/archie,245d290e44e8f4969872a247dae3860304b4ae0b
dmulcahey-component-configuration,https://github.com/dmulcahey/component-configuration,1beb03092d7d8bb3cc5924bd4cae2f39b992ab4d
